pop,ger,mut,sel,k,cx,mt,elitismo,media_makespan,desvio_padrao
100,100,0.05,torneio,2,cx,swap,0,964.9,11.883228143526956
100,100,0.05,torneio,2,cx,swap,1,967.4,13.326664999166145
100,100,0.05,torneio,2,cx,deslocamento,0,972.9,7.852105167122735
100,100,0.05,torneio,2,cx,deslocamento,1,968,9.7182531580755
100,100,0.05,torneio,2,erx,swap,0,1047.1,8.924996109554085
100,100,0.05,torneio,2,erx,swap,1,1037.2,13.036700332352337
100,100,0.05,torneio,2,erx,deslocamento,0,1045.7,8.731170215574389
100,100,0.05,torneio,2,erx,deslocamento,1,1044.1,12.42264956529895
100,100,0.05,torneio,3,cx,swap,0,962.1,7.936553968120477
100,100,0.05,torneio,3,cx,swap,1,963.1,10.13738953906116
100,100,0.05,torneio,3,cx,deslocamento,0,973.7,10.530906893520616
100,100,0.05,torneio,3,cx,deslocamento,1,976.4,14.431447143882234
100,100,0.05,torneio,3,erx,swap,0,1039,15.592020751368667
100,100,0.05,torneio,3,erx,swap,1,1033.7,16.28939668755244
100,100,0.05,torneio,3,erx,deslocamento,0,1033.9,8.698020208964541
100,100,0.05,torneio,3,erx,deslocamento,1,1028.3,13.458165633630099
100,100,0.05,torneio,5,cx,swap,0,963.4,11.01715833496904
100,100,0.05,torneio,5,cx,swap,1,967.4,12.011105971835677
100,100,0.05,torneio,5,cx,deslocamento,0,976.9,12.10555428076073
100,100,0.05,torneio,5,cx,deslocamento,1,975,13.316656236958787
100,100,0.05,torneio,5,erx,swap,0,1018.7,17.66383625125389
100,100,0.05,torneio,5,erx,swap,1,1017.3,12.525973016097392
100,100,0.05,torneio,5,erx,deslocamento,0,1020.2,17.41519132507274
100,100,0.05,torneio,5,erx,deslocamento,1,1004.5,15.883254634292614
100,100,0.05,roleta,2,cx,swap,0,1054.9,15.715880149991246
100,100,0.05,roleta,2,cx,swap,1,1039.7,14.032106042928838
100,100,0.05,roleta,2,cx,deslocamento,0,1047.5,18.957554929074817
100,100,0.05,roleta,2,cx,deslocamento,1,1041.8,14.428367120980038
100,100,0.05,roleta,2,erx,swap,0,1052.8,10.21763181955584
100,100,0.05,roleta,2,erx,swap,1,1043,14.552586635295382
100,100,0.05,roleta,2,erx,deslocamento,0,1050.3,10.133004380625609
100,100,0.05,roleta,2,erx,deslocamento,1,1039.2,14.30462240753744
100,100,0.05,roleta,3,cx,swap,0,1054.9,15.715880149991246
100,100,0.05,roleta,3,cx,swap,1,1039.7,14.032106042928838
100,100,0.05,roleta,3,cx,deslocamento,0,1047.5,18.957554929074817
100,100,0.05,roleta,3,cx,deslocamento,1,1041.8,14.428367120980038
100,100,0.05,roleta,3,erx,swap,0,1052.8,10.21763181955584
100,100,0.05,roleta,3,erx,swap,1,1043,14.552586635295382
100,100,0.05,roleta,3,erx,deslocamento,0,1050.3,10.133004380625609
100,100,0.05,roleta,3,erx,deslocamento,1,1039.2,14.30462240753744
100,100,0.05,roleta,5,cx,swap,0,1054.9,15.715880149991246
100,100,0.05,roleta,5,cx,swap,1,1039.7,14.032106042928838
100,100,0.05,roleta,5,cx,deslocamento,0,1047.5,18.957554929074817
100,100,0.05,roleta,5,cx,deslocamento,1,1041.8,14.428367120980038
100,100,0.05,roleta,5,erx,swap,0,1052.8,10.21763181955584
100,100,0.05,roleta,5,erx,swap,1,1043,14.552586635295382
100,100,0.05,roleta,5,erx,deslocamento,0,1050.3,10.133004380625609
100,100,0.05,roleta,5,erx,deslocamento,1,1039.2,14.30462240753744
100,100,0.1,torneio,2,cx,swap,0,961.6,5.295700562196133
100,100,0.1,torneio,2,cx,swap,1,959.1,7.950541560869367
100,100,0.1,torneio,2,cx,deslocamento,0,967.1,6.314885412877876
100,100,0.1,torneio,2,cx,deslocamento,1,961.3,7.484057129065165
100,100,0.1,torneio,2,erx,swap,0,1033.8,18.45595357119816
100,100,0.1,torneio,2,erx,swap,1,1037.9,7.809538327512637
100,100,0.1,torneio,2,erx,deslocamento,0,1046.2,9.413937657655389
100,100,0.1,torneio,2,erx,deslocamento,1,1045.8,17.89351216999552
100,100,0.1,torneio,3,cx,swap,0,956.7,6.8321137122985425
100,100,0.1,torneio,3,cx,swap,1,954.8,6.528569691917382
100,100,0.1,torneio,3,cx,deslocamento,0,967.6,7.791733511299723
100,100,0.1,torneio,3,cx,deslocamento,1,967.1,10.764654094664527
100,100,0.1,torneio,3,erx,swap,0,1037.3,8.35397443669113
100,100,0.1,torneio,3,erx,swap,1,1023,8.472176684759223
100,100,0.1,torneio,3,erx,deslocamento,0,1043.8,11.792653080060767
100,100,0.1,torneio,3,erx,deslocamento,1,1030.3,11.52822622956368
100,100,0.1,torneio,5,cx,swap,0,956.1,6.454111523328022
100,100,0.1,torneio,5,cx,swap,1,962.6,17.34743016510899
100,100,0.1,torneio,5,cx,deslocamento,0,965.5,10.448285345771653
100,100,0.1,torneio,5,cx,deslocamento,1,973.8,15.512002521345277
100,100,0.1,torneio,5,erx,swap,0,1018,11.953614051360738
100,100,0.1,torneio,5,erx,swap,1,1004,8.844332774281067
100,100,0.1,torneio,5,erx,deslocamento,0,1024.8,13.644697789902779
100,100,0.1,torneio,5,erx,deslocamento,1,1015.9,8.517302650748325
100,100,0.1,roleta,2,cx,swap,0,1045.3,12.49044078930408
100,100,0.1,roleta,2,cx,swap,1,1035.1,17.722866585290316
100,100,0.1,roleta,2,cx,deslocamento,0,1057.1,17.62227126236696
100,100,0.1,roleta,2,cx,deslocamento,1,1033.9,8.279157230325104
100,100,0.1,roleta,2,erx,swap,0,1045.8,8.954204474869767
100,100,0.1,roleta,2,erx,swap,1,1047,18.360585805227213
100,100,0.1,roleta,2,erx,deslocamento,0,1048.9,14.798273172532289
100,100,0.1,roleta,2,erx,deslocamento,1,1042.5,4.85912657903775
100,100,0.1,roleta,3,cx,swap,0,1045.3,12.49044078930408
100,100,0.1,roleta,3,cx,swap,1,1035.1,17.722866585290316
100,100,0.1,roleta,3,cx,deslocamento,0,1057.1,17.62227126236696
100,100,0.1,roleta,3,cx,deslocamento,1,1033.9,8.279157230325104
100,100,0.1,roleta,3,erx,swap,0,1045.8,8.954204474869767
100,100,0.1,roleta,3,erx,swap,1,1047,18.360585805227213
100,100,0.1,roleta,3,erx,deslocamento,0,1048.9,14.798273172532289
100,100,0.1,roleta,3,erx,deslocamento,1,1042.5,4.85912657903775
100,100,0.1,roleta,5,cx,swap,0,1045.3,12.49044078930408
100,100,0.1,roleta,5,cx,swap,1,1035.1,17.722866585290316
100,100,0.1,roleta,5,cx,deslocamento,0,1057.1,17.62227126236696
100,100,0.1,roleta,5,cx,deslocamento,1,1033.9,8.279157230325104
100,100,0.1,roleta,5,erx,swap,0,1045.8,8.954204474869767
100,100,0.1,roleta,5,erx,swap,1,1047,18.360585805227213
100,100,0.1,roleta,5,erx,deslocamento,0,1048.9,14.798273172532289
100,100,0.1,roleta,5,erx,deslocamento,1,1042.5,4.85912657903775
100,100,0.2,torneio,2,cx,swap,0,961.6,7.441624673267107
100,100,0.2,torneio,2,cx,swap,1,950.8,8.175845182269809
100,100,0.2,torneio,2,cx,deslocamento,0,965.8,10.411532067856296
100,100,0.2,torneio,2,cx,deslocamento,1,961.2,4.049691346263317
100,100,0.2,torneio,2,erx,swap,0,1046.4,12.348639151294725
100,100,0.2,torneio,2,erx,swap,1,1033.2,9.162726425881957
100,100,0.2,torneio,2,erx,deslocamento,0,1044.6,16.125893601423904
100,100,0.2,torneio,2,erx,deslocamento,1,1041.1,12.810152223919902
100,100,0.2,torneio,3,cx,swap,0,948.5,8.605553762283725
100,100,0.2,torneio,3,cx,swap,1,954,8.755950357709132
100,100,0.2,torneio,3,cx,deslocamento,0,957.7,11.738351199759228
100,100,0.2,torneio,3,cx,deslocamento,1,959.5,6.416125518306719
100,100,0.2,torneio,3,erx,swap,0,1041.9,12.905209972892516
100,100,0.2,torneio,3,erx,swap,1,1027.7,12.1568453510312
100,100,0.2,torneio,3,erx,deslocamento,0,1039.6,10.658330075579382
100,100,0.2,torneio,3,erx,deslocamento,1,1028.5,15.152924176907607
100,100,0.2,torneio,5,cx,swap,0,953.1,13.543756249037168
100,100,0.2,torneio,5,cx,swap,1,957.3,9.866328823044793
100,100,0.2,torneio,5,cx,deslocamento,0,961.3,10.209472725529626
100,100,0.2,torneio,5,cx,deslocamento,1,955.9,9.492101980067428
100,100,0.2,torneio,5,erx,swap,0,1029.1,15.444884086468388
100,100,0.2,torneio,5,erx,swap,1,1015.1,7.549098548097573
100,100,0.2,torneio,5,erx,deslocamento,0,1027.2,13.456101466125569
100,100,0.2,torneio,5,erx,deslocamento,1,1011.6,13.368287516025047
100,100,0.2,roleta,2,cx,swap,0,1052,18.850287354131588
100,100,0.2,roleta,2,cx,swap,1,1040.4,12.194716524426106
100,100,0.2,roleta,2,cx,deslocamento,0,1056.6,11.529671865813587
100,100,0.2,roleta,2,cx,deslocamento,1,1046.2,11.717034133640173
100,100,0.2,roleta,2,erx,swap,0,1058.5,15.834210502018161
100,100,0.2,roleta,2,erx,swap,1,1050.6,12.465062285354925
100,100,0.2,roleta,2,erx,deslocamento,0,1051.3,9.274217547109357
100,100,0.2,roleta,2,erx,deslocamento,1,1045.8,10.726913193769523
100,100,0.2,roleta,3,cx,swap,0,1052,18.850287354131588
100,100,0.2,roleta,3,cx,swap,1,1040.4,12.194716524426106
100,100,0.2,roleta,3,cx,deslocamento,0,1056.6,11.529671865813587
100,100,0.2,roleta,3,cx,deslocamento,1,1046.2,11.717034133640173
100,100,0.2,roleta,3,erx,swap,0,1058.5,15.834210502018161
100,100,0.2,roleta,3,erx,swap,1,1050.6,12.465062285354925
100,100,0.2,roleta,3,erx,deslocamento,0,1051.3,9.274217547109357
100,100,0.2,roleta,3,erx,deslocamento,1,1045.8,10.726913193769523
100,100,0.2,roleta,5,cx,swap,0,1052,18.850287354131588
100,100,0.2,roleta,5,cx,swap,1,1040.4,12.194716524426106
100,100,0.2,roleta,5,cx,deslocamento,0,1056.6,11.529671865813587
100,100,0.2,roleta,5,cx,deslocamento,1,1046.2,11.717034133640173
100,100,0.2,roleta,5,erx,swap,0,1058.5,15.834210502018161
100,100,0.2,roleta,5,erx,swap,1,1050.6,12.465062285354925
100,100,0.2,roleta,5,erx,deslocamento,0,1051.3,9.274217547109357
100,100,0.2,roleta,5,erx,deslocamento,1,1045.8,10.726913193769523
